Suppe på en pølsepind,H. C. Andersen," fra 1983 på forlaget Gyldendal. Hardback, 27x22cm. 27sider, illustreret med tegninger af Kaj Beckman",ISBN: 87-00-54222-9,33743.jpg,30,5,Fin stand, Børnebøger,,,,,,,,,,
Danske Soldater i Gaza og Congo,Preben Kristiansen (red), fra 1962 på forlaget Fremad,,33512.jpg,20,3,"Om Danmarks deltagelse med FN-styrker og soldaternes oplevelser. Om kultur i Mellemøsten og Afrika. Hft. 174 sider, illustreret med fotos. 478g.", Studiebøger, Dokumentar,,,,,,,,,
Super fit- smid kiloene-på 20minutter-træn effektivt,Ida Krak," fra 2009 på Politikkens Forlag Hft. 126 sider, fin stand",ISBN: 9788756791038,33190.jpg,40,5,, Sundhed,,,,,,,,,,
Det danske Landbosamfund 1500-1800,Fridlev Skrubbeltrang, fra 1979 på forlaget Den danske historiske Forening,ISBN: 87-87462-16-8,33605.jpg,75,4,"Hft. 480 sider, god stand. 896 gram", Studiebøger, Samfundsvidenskab, Historie:Kultur,,,,,,,,
Mit liv i Fremmed Legionen - Virkelighedens Verden - den fantastiske beretning om verdens eneste kvindelige fremmedlegionær,Susan Travers, fra 2001 på forlaget Egmont Wangel,ISBN: 87-608-1221-4,33703.jpg,30,6,"Indb. 345sider, illustreret med fotos. 499gram", Dokumentar,,,,,,,,,,
Barinaen - Frihedens Pris,Henri Troyat, fra 1966 på forlaget Danske bogsamleres klub,,33769.jpg,20,5,"Indb. 319sider. 
Bind 2 af Henri Troyats romancyklus FRIHEDENS PRIS. 484g.", Skønlitteratur, Romaner,,,,,,,,,
The United States of Europe - the new superpower and the end of American supremacy,T. R. Reid, fra 2004 på forlaget Penguin books,ISBN: 0 14 30.3608 4,33548.jpg,40,5,Pbk. 305sider. 299g., Politik, Samfundsvidenskab, Presse og Medier, Dokumentar,,,,,,,
Kogebog for Grønland - Nerissagssiornermik ilitsersûtit kalâtdlit-nunãnut túngatitat,Caia Hansen, fra 1982 på forlaget Den Kongelige Grønlandske Handel,,33835.jpg,100,5,"Den grønlandske kogebog på dansk og grønlandsk. 293sider, illustreret. Plastindbundet og i perfekt stand.", Mad & gastronomi,,,,,,,,,,
Gardening in New Orleans,Mary Stewart and Helen Oser, fra 1987 på forlaget Celestial,,33691.jpg,30,4,"Genoptryk af den populære Amerikanske bog fra 1952
Hft. 212sider. 370gram.", Faglitteratur, Hus & have, Hobby, Botanik,,,,,,,
"Grønne Kranse - Bukkar, skovmærke og mysike i folketraditionen",Holger Rasmussen, fra 1977 på forlaget Nationalmuseet,ISBN: 87-480-0134-1,33351.jpg,25,4,"Hft. 86sider, illustreret. Udg.biblioteksbog i god stand. 200g.", Studiebøger, Historie:Kultur, Folklore, Etnografi og Antropologi, Botanik,,,,,,
Hoffet i Parma 1+2,Stendhal, fra 1967 på forlaget Gyldendals Bibliotek Verdenslitteratur,,33784.jpg,30,5,Indb. 234 + 265sider. 634g., Skønlitteratur,,,,,,,,,,
"Mit skatkammer; skov, hav og himmel (7)",Annalise Børresen (redaktion), fra 1970 på forlaget Fremad,ISBN: 87-557-0114-0,33944.jpg,30,4,"Indb. 160sider, illustreret med tegninger. Brugsspor udvendig. 596g.", Ungdom, Børnebøger,,,,,,,,,
Troldepus i skoven,Dines Skafte Jespersen, fra 1967 på Chr. Erichsens Forlag,ISBN: 87-555-0281-4,33853.jpg,15,5,"Indb. 12x16cm. 83 sider, illustreret. brugt biblioteksbog i god stand. 140g.", Skønlitteratur, Fortællinger, Børnebøger,,,,,,,,
Tanker og tænkere - der forandrede vor verden,Peter H. Waldeck," fra 1978 på forlaget Lademann. Indb. 22x30cm.128sider, illustreret.",ISBN: 8715081761,33782.jpg,40,5,, Samfund & historie, Filosofi,,,,,,,,,
WINDJAMMER,Louis de Rochemont," fra 1958 på forlaget Random House, New York",,33137.jpg,30,5,"a modern adventure in Cinemiracle.
Hardback, 21x29cm. 65sider, illustreret. 397g.", Skibe,,,,,,,,,,
"The Viz - Big fat slags book - An all new orgy of sex, chips & swering",Graham Dury and Simon Thorp, fra 1994 på forlaget John Brown Ltd.,ISBN: 1-870870-46-8,33711.jpg,20,4,"Engelsk tegneserie for voksne. Hardback, 20x25cm. 73sider.", Skønlitteratur, Tegneserier, Humor,,,,,,,,
Folkene på Hemsø . en fortælling fra Skærgården,August Strindberg, på forlaget Lademann,,33583.jpg,25,6,"Indb. m. guldtryk. 198sider, illustreret. 473g.", Skønlitteratur,,,,,,,,,,
LYKKENS LAND,Jørgen Falk Rønne, fra 1917 på H. Hagerups forlag,,33918.jpg,20,5,Antikvarisk bog. Indb. 175sider. 362g., Skønlitteratur, Romaner,,,,,,,,,
En Engelsk Urmagerslægt der havnede i Aabenraa,Aabenraa Antikvitetshandel,"Kategorier: Studiebøger, Antikviteter, Biografier",,33110.jpg,,5,, 10 kr – stand: ★★★★★★,,,,,,,,,,
AT TÆNKE SIG - 1967,Redaktion SIR BLUE, fra 1967 på forlaget Gyldendal,,33316.jpg,10,5,"Hft. 48s. illustreret. Humor, vittigheder og satire. 114gram.", Skønlitteratur, Humor,,,,,,,,,
En dansk students eventyr og Lægdsgaarden i Ølsebye-magle,Poul Martin Møller, fra 1964 på forlaget Gyldendal,,33316.jpg,20,5,Indb. 149sider. 266g., Skønlitteratur, Fortællinger,,,,,,,,,
HVAD BEHØVES DER FOR AT LEVE ?,Elisabeth Martens, fra 1869 på forlaget Gyldendalske boghandel,,33182.jpg,15,5,Antikvarisk bog med gotisk skrift. Indb. 154sider. 202g., Skønlitteratur, Fortællinger,,,,,,,,,
Rundt om skibby - om cykelløb,Anne Skibby, fra 1995 på forlaget Parlando,ISBN: 87-984058-1-0,33731.jpg,20,5,"Biografi af cykelrytteren Jesper Skibby. Hans tilværelse både privat og professionelt. Indb. 86sider, illustreret. 346gram.", Biografier, Idræt,,,,,,,,,
Digternes Damer,Lise Sørensen, fra 1966 på forlaget Gyldendals Uglebøger,,33922.jpg,15,4,"Vittig, varm og veloplagt essaysamling. Hft. 162sider. 171g.", Skønlitteratur,,,,,,,,,,
LUDVIG BØDTCHERS sidste digte,Ludvig Bødtcher, fra 1875 på C. A. Reitzels forlag,,33296.jpg,20,4,"Indb. 11x16,5cm. 100sider. 138gram.", Skønlitteratur, Digte,,,,,,,,,
Undtagen Thor! - Et Tibetansk folkeeventyr.,John Richardson - gendigtet til dansk af Jørn E. Albert, fra 1991 på forlaget Forum,ISBN: 87-553-1883-5,33159.jpg,25,5,"Billedbog på vers. Thor er en lille dreng, der laver sig en fantasifuld hat. En dag flyver den fra ham, og alle der ser den, tror den er et farligt uhyre' Hardback, 23x30cm. 404gram.", Skønlitteratur, Børnebøger,,,,,,,,,
Sportspsykologi,Willi Railo, fra 1977 på forlaget Clausen bøger,ISBN: 8711038063,33183.jpg,20,5,"Hft. 208sider, illustreret med tegninger af Helge Støylen. Fin stand. 307g.", Faglitteratur, Sport & fritid, Psykologi,,,,,,,,
AT TÆNKE SIG - 1966,Redaktion SIR BLUE, fra 1966 på forlaget Gyldendal,,33076.jpg,10,5,"Hft. 48s. illustreret. Humor, vittigheder og satire. 119gram.", Skønlitteratur, Humor,,,,,,,,,
GENSYN MED ØSTEN,Aage Krarup Nielsen, fra 1948 på forlaget Gyldendal,,33932.jpg,30,5,"Indb. 160sider, illustreret med fotos. 657g.", Studiebøger, Samfund & historie, Opdagelsesrejser - ekspeditioner,,,,,,,,
Hans Nikolaj Hansen - halvtredsindstyve billeder efter malerier og tegninger,H. Chr. Christensen., fra 1915 på forlaget F. Hendriksens Reproduktions-Atelier,,33390.jpg,40,4,"Antikvarisk kunstbog med 50 billeder efter malerier og tegninger af Hans Nikolaj Hansen, samlede og udgivne af H. Chr. Christensen.
Bogen er nr. 94 af 150 nummererede.
Indb. 20x28cm. 56sider. 609g.", Studiebøger, Kunsthistorie,,,,,,,,,
Emmanuels bog - vejledning til et godt liv i universet,Pat Rodegast & Judith Stanton,2. udgave fra 2006 på forlaget Borgen. Indb. 286sider. Som ny,ISBN: 87-7895-638-2,33365.jpg,50,6,, Spiritualitet, Selvudvikling,,,,,,,,,
Intuition & Handlekraft,Susanne Møberg,2. udgave fra 2003 på forlaget Borgen. Hft. 120sider. Som ny,ISBN: 87-7895-426-6,33411.jpg,45,6,, Selvudvikling,,,,,,,,,,
Jacob Haugaard - Biografi - En gøgler på Strandvejen,Jacob Haugaard/Helle Møller Christensen,1. udgave fra 1999 på forlaget Høgsted og Høgsted,ISBN: 87-986663-2-0,34041.jpg,20,5,"""Jeg har oplevet de vildeste ting i mit liv, og jeg har haft nogle gevaldige nedture. Men jeg er et korkprop-menneske"" fortæller Jacob Haugaard, som har levet i skurvogn blandt bumser og prostituerede.  Hft. 208sider, illustreret. 248gram.", Biografier,,,,,,,,,,
JØDEN FRA ROM,Lion Feuchtwanger, fra 1932 på forlaget Nordisk,,33550.jpg,20,3,"Indb. med læderryg. 400sider. 
God stand, men udvendig brugsspor. 799g.", Skønlitteratur, Romaner, Historie:Kultur,,,,,,,,
PENGE - Vejen til god økonomi og bedre livskvalitet,Lisbeth Nebelong, fra 1992 på forlaget Nyt Nordisk,ISBN: 87-17-06322-1,33269.jpg,30,5,Bogen beskriver de mekanismer der gør at så mange konstant halter bagefter regningerne i stedet for at være lidt foran - og peger konkret på hvordan man kan få rettet op på privatøkonomien - og om opsparings- og investeringsmuligheder. Hft. 155sider. 244gram, Økonomi,,,,,,,,,,
Den røde pimpernel 1+2,Baronesse Emmuska Orczy, på forlaget Lademann,,33612.jpg,35,6,2 bøger indb. m. guldsnit og illustreret af Henry Thelander. 248 + 296sider. Som nye. 970g., Skønlitteratur, Fortællinger,,,,,,,,,
Præsidentens rådgiver,Brad Meltzer, fra 2001 på forlaget Lindhardt og Ringhof,ISBN: 87-595-1458-2,33619.jpg,35,6,Om magtkampene blandt præsidentens rådgivere indenfor i Det Hvide Hus. Indb. 503sider. Som ny. 858gram, Skønlitteratur, Krimi/spænding,,,,,,,,,
Under billens kælder,Mary Willis Walker,1. udgave fra 1996 på forlaget Fremad,ISBN: 87-557-2004-8,33538.jpg,25,5,Hft. 314sider. 464gram, Skønlitteratur, Krimi/spænding,,,,,,,,,
